# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_ENX	s_ENX	d_P	s_P	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_P	r_CG	r12	r32	T	V_H	V_BW	Con	X2
21	1e-07	4.560894473835815	337.4344317246267	23.318338337463498	3.3928129282783943	4.198282978035773	3.0788173535471697	2.5925604083918867	0.8021820679341726	1.892985834409791	30.823446328046845	0.035343592839752296	2.4399479279872565	9.458992238524608	2.8	2.5887717806953963	0.13776992051870235	0.580893673762495	0.7790627473255289	1.9757200210418666	50.0	239.88135140099325	30.236501602541736	0.0017021851934362327	19.252465522782213
22	1e-07	4.598714770454406	358.82238462839535	32.31988028074097	3.4770998022915873	2.8935915605791904	3.1272567505328963	2.847707533101354	0.9450568059155597	2.369006497598028	30.43516497389984	0.03623399639289542	2.4310813584097155	9.323063278534079	2.8	2.9179163016295546	0.1460451618498293	0.5635714267817361	0.7967566644351942	1.9342369877082501	50.0	248.66991806701597	30.244747496498494	0.001757763138826919	21.874705499513592
23	1e-07	5.146515604252084	346.0507447863958	28.198259273130237	3.47578276139447	2.680354704454782	2.79811281381873	2.9283048397536886	0.8081139113726848	2.1651484132343826	30.635197614073086	0.03489536886792675	2.616622822520349	9.20349991154244	2.8	2.6492141167883703	0.14867606672704967	0.5871701135892504	0.7884898056638704	1.8294376622782655	50.0	251.33461082040623	30.19998958796106	0.0017633163713194789	20.399611542674144
24	1e-07	4.831582103213589	353.13687976919397	17.716581683369853	3.227094149900948	3.2049534981627823	3.3598415563102395	3.0286637867869346	0.8950251651147253	2.60873400023072	31.1675407046686	0.0323588323132351	2.7538288142217744	9.483416898226366	2.8	3.0962922335445513	0.14203266351561902	0.5228410145423493	0.8748332065264295	2.0056773614794476	50.0	257.9399247792687	30.345514607678822	0.0019721559542224144	19.115718682878406
25	1e-07	5.5451932768955325	332.72429071186497	18.362549474267503	3.321976657186062	2.554010888533192	2.707239703157112	3.46178235912213	0.8324025482576008	2.298642943675767	31.2258180883297	0.033622113098382436	2.698517024417392	9.791867427899456	2.8	2.843182444222011	0.12384899345100231	0.5622381354009921	0.7849104530376391	1.8074975497489423	50.0	251.2266341683962	30.362995740845804	0.001953821792623407	18.91341643772146
26	1e-07	4.659520119031086	325.95346134964774	15.151244168423892	3.52565419472645	3.952409945820682	3.612966238557117	2.247443488308197	1.0761215854803503	1.5594064755277621	29.832345113886443	0.03779474312048745	2.4779624300791685	9.383621380460953	2.8	2.8767501714782746	0.14187410925887142	0.5834484559524399	0.7760347455507731	2.1653653770143877	50.0	240.1628276793217	30.17844253491868	0.0018506018208388605	20.712809910497583
27	1e-07	4.726501081075676	341.10129578572463	23.013721780426597	3.564399057631636	4.146332079255538	3.173357553198489	1.8963992415738775	0.8361654118318271	2.5242226763858646	30.128206627933377	0.03413489935118432	2.72187951136209	9.263703382579804	2.8	3.0793472371739323	0.14643217403288827	0.608990232983165	0.7569598371496961	2.0906503881470986	50.0	247.30884881990417	30.151809311659065	0.0015329512706616067	20.286667051030882
28	1e-07	5.726673146168226	329.97252316997935	13.027038960264843	3.305737275037212	3.385563028859818	3.0143231540150808	2.9331089643424457	0.7789865013083439	2.625608578232228	30.538778564547055	0.03403406094012537	2.75247315038316	9.33993345808613	2.8	2.9839119317539975	0.14421294548034388	0.5785100297154213	0.7386714966368033	1.8509629887672738	50.0	255.45488267611134	30.20870707409057	0.0019931141839054974	18.24015431818566
29	1e-07	5.191741683107687	325.0910953314526	13.53089905131465	3.529521734590321	1.7512065701142352	3.624901094942927	2.8791233573287327	0.9636806667852241	2.116706490718081	30.350328036192668	0.03564735766378168	2.622313765362613	9.468178321749367	2.8	2.978385433333712	0.13643421890187474	0.5451361771829563	0.8239529629478248	2.0150724706838914	50.0	246.70244868735188	30.298530016930876	0.0018001368420683971	20.679828660605935
30	1e-07	5.3761991676185765	312.93840903086505	19.471851081197556	3.4303028296117235	2.247098193378525	2.999342953691737	2.4358925995655296	0.8884097426172288	1.7428874342583567	30.383485545211204	0.03207680294904281	2.727369378783626	9.665490074540259	2.8	2.9151523891262117	0.16121164038007535	0.6012390644871872	0.8547852633227916	2.1049917246511396	50.0	245.2697807155984	30.172739701908533	0.0016631876447412372	21.543869712839296
