# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.081771	7760.75	123.108	7407.095945725756
0.0822963	7745.97	123.366	7425.898160265051
0.0828217	7477.93	122.908	7444.814189256344
0.083347	7838.79	124.663	7463.8111931257135
0.0838724	7831.49	123.703	7482.871433771332
0.0843977	7861.66	125.899	7501.963347868119
0.0849231	7700.91	123.739	7521.070530530864
0.0854484	7875.03	125.02	7540.162664462865
0.0859738	7732.8	124.684	7559.224577676328
0.0864991	7794.06	124.419	7578.227172592558
0.0870245	7888.44	126.018	7597.156417210628
0.0875498	8074.23	124.67	7615.984410767914
0.0880752	7662.59	123.631	7634.698175095634
0.0886005	7713.7	122.307	7653.270986306217
0.0891259	7824.12	123.705	7671.690840077422
0.0896512	7824.95	126.928	7689.9321720171565
0.0901766	7765.91	125.832	7707.983877305206
0.0907019	7685.91	129.112	7725.821535869767
0.0912273	7605.56	128.943	7743.434873213502
0.0917526	7713.56	130.344	7760.800600294722
0.092278	7724.35	130.46	7777.909208495932
0.0928033	7848.97	129.568	7794.738528114543
0.0933287	7871.71	131.971	7811.279756318218
0.093854	7911.85	131.774	7827.511832395607
0.0943794	8034.49	133.572	7843.426603202493
0.0949047	7773.83	131.758	7859.004107784685
0.0954301	7611.05	132.603	7874.236790269148
0.0959554	7969.65	134.381	7889.105781132948
