# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	x_p	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
15	0.01	2.322389102474805	380.76806430817123	5.1	0.46739424566780513	2.6839756994026516	3.0713892284290396	4.651704771535602	2.320283459119377	0.7928695348161038	2.2314622359154455	27.503547244136655	0.12567133682044165	2.521112437248077	9.0	3.05	3.1332122451112046	0.2999649036312669	0.44867816172566116	0.81	2.1836865333623243	37.0	324.04480612792946	28.65296422984667	185.95833084470996	3.206341717604706
16	0.01	2.598692500439575	366.2049679603767	5.1	0.4578446241236162	2.738166307789705	2.9724744680608475	4.622284147238562	2.009827800388404	0.8855953345274241	2.1527568288131187	26.54373737692255	0.13422813469680073	2.503711203889678	9.0	3.05	3.221530670442188	0.2996015176915355	0.4538385024543042	0.81	2.0923601867353265	37.0	320.052223566148	28.485804561585958	179.68323910901185	3.1113969365573326
17	0.01	2.4677114701687484	382.81759034268896	5.1	0.43285928287485903	2.7116592920023415	2.9005862484843328	4.1478301090375345	2.2048909801787158	0.8395933530787064	1.716729904166189	27.39047890729819	0.15140102010407797	2.4507304974829287	9.0	3.05	3.3147926583104397	0.28523093198187605	0.4619060647140431	0.81	2.066213487821339	37.0	328.51916149857743	28.407317765661418	172.9295318367301	3.331416032528857
18	0.01	2.235561727794945	400.0039903161441	5.1	0.4392027148354938	2.660601411532427	2.9798246252364637	4.0716224669417205	2.896127341641572	0.9027490481633784	1.8914275590770373	28.163557177098642	0.12346197730966871	2.433014515583379	9.0	3.05	3.375244076239765	0.28536503861064205	0.43794563122981145	0.81	2.1162332998593714	37.0	333.45337474582936	28.46511058646606	187.6156071384188	3.3936228144424088
19	0.01	2.078970317787131	400.2152552728048	5.1	0.46088536870747016	2.664720616504268	3.0160038069960695	4.4977219194052545	2.110590702393783	0.8061684113529477	1.675768714567192	27.38675514976574	0.1588181347625605	2.5112905937020646	9.0	3.05	3.507858585922591	0.28582279582423775	0.452608047777929	0.81	2.078768687484815	37.0	316.04407934418634	28.5253321798033	182.1552576233465	3.834134230071093
20	0.01	2.3930915437515274	379.04935429282784	5.1	0.46049839597908454	2.7267577457038414	2.8957220372899974	4.55974087233989	2.50426526684391	0.7722251577526489	2.3729655267301757	26.440318270758375	0.13218375187443715	2.4528187500774075	9.0	3.05	3.36758253653598	0.2810381298046258	0.4642985584182097	0.81	2.0430363964804417	37.0	308.3300666700591	28.381474406441637	182.0612312392392	3.639686792773952
21	0.01	2.3854630690549725	371.31655651702516	5.1	0.4496778635973643	2.617535191935644	2.937929260461639	4.4040572093839	1.783394531314117	0.7968513692716115	1.6106164938228464	27.847990968683572	0.1665926872283755	2.4942724803590606	9.0	3.05	3.4786116193613457	0.2812951879654344	0.4357076200385517	0.81	1.9883437729061195	37.0	317.8649350961169	28.44401348621407	187.01720866829328	3.815089206784124
22	0.01	2.104312488614994	406.86601727566875	5.1	0.4496733321510793	2.815805160969969	3.0919318209523663	3.720099786015309	3.202215132123743	0.7297726485460879	2.2864325070946214	27.754290181150342	0.13726899234920723	2.4002893397670237	9.0	3.05	3.882215454631293	0.29022755458117905	0.4546992548621397	0.81	2.03434479474999	37.0	313.22272439783313	28.330357640490433	178.7789117545374	3.3611390198102655
23	0.01	1.8489900833062318	412.8751789227989	5.1	0.4837702613627746	2.6919208585349903	2.785790938430294	4.204701418063136	1.6982357284767973	0.7289803199496466	2.2761269811354627	27.87812949446027	0.14908351999941738	2.495160406629559	9.0	3.05	3.2974134249556086	0.2880829395897816	0.4541399872768197	0.81	2.099183363789852	37.0	312.5952050514074	28.556568827242234	183.5384785177453	3.6858850530321816
24	0.01	2.6723211786867753	361.0060122744741	5.1	0.4285373610810816	2.693377277280786	2.9307183376481665	4.54755765617742	1.1708683071311297	0.735135292771043	2.1091868243359	27.20688381453597	0.16553391206598275	2.5598966828418135	9.0	3.05	3.4939284022368065	0.2814304753995759	0.46106923243196934	0.81	2.018318735678742	37.0	326.22142669752805	28.29740983420829	205.6194249518844	3.560443576642507
