# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	T	V_H	V_BW	Con	X2
31	2e-07	1.3127712560759721	497.22174929136145	11.707842183959	1.0215736855570736	3.047053419986198	4.0620940845566995	2.8505117541343328	0.7779372338633082	2.2522866839558704	24.199994203013333	0.031188903173815417	2.4771102805633727	2.2221400783282177	0.28771224030983333	0.43401655260786687	1.9840758812521229	50.0	319.9207088565885	30.34864037386575	0.0022451772955010122	18.574424364415187
32	2e-07	1.5247405170043191	498.77463944341673	12.713016906423553	0.9913035302702279	2.9030990645329453	4.572118140439519	2.7309112143751975	0.8716521040143961	2.523754594117789	22.979249966783858	0.032570657210863746	2.514542326629636	1.9424671767783144	0.2934863746671143	0.4411645712740072	1.86990707266535	50.0	324.74845927774163	30.398737943922878	0.0022281416955648027	19.128883063426706
33	2e-07	1.3217930823334885	490.1998966388947	8.131507792779377	1.0615343452270194	2.921383827643736	3.9547647381762094	2.85263304575249	0.7564352189695004	2.5133941643677407	24.366361416495735	0.03233237474031769	2.56541991443055	1.8813828519365723	0.2839164930699377	0.43138122612805746	1.9280384061752096	50.0	319.1842816292333	30.372295937474746	0.002241023969947846	22.19369759935832
34	2e-07	1.4297378902128386	496.0754682214638	9.832730794718037	0.9943804199249764	3.0009914766118717	3.959319534353416	2.839454258520008	0.8883294825848559	2.4726248026771054	23.713817306572455	0.027397537297996193	2.4287075438192813	1.9816580004019742	0.2858855568539938	0.45713804935850577	1.906913029043047	50.0	327.2547717125983	30.33911540979183	0.002312014059020702	21.796104119800987
35	2e-07	1.3378063226202903	496.4095967865503	11.763776822964857	0.9783166356185474	2.9034008043657895	4.12591286600371	2.8405642325896836	0.7161027571254884	2.3259343371363315	24.092863914709614	0.028303035125934056	2.4466621099869563	1.9328428443215169	0.26922022932157696	0.4423703092739476	1.9220604844951301	50.0	319.5710851645714	30.27946900853331	0.0022763212190130893	19.03320706377908
36	2e-07	1.208830411425428	496.59005763786047	8.250542289652598	1.052699670995591	2.871051974044266	3.6823824730652945	2.870524319083681	0.7411867435983504	2.3801887292318136	24.80835665754502	0.0354079135028387	2.412230016960647	1.9833449585659146	0.28330364115389484	0.42931823482630516	1.946105288131723	50.0	315.77243886052923	30.359363613574832	0.0021833400678302624	22.576083954573992
37	2e-07	1.2759077104163508	494.6991675554921	8.19376854105211	1.068451738182755	3.0124464697651026	4.080045007958924	2.7167703209964045	0.8258601669595983	2.3807774565191715	24.0277893761014	0.03329057180480255	2.3988278509880585	2.1845952069745835	0.2817083240811135	0.4392095136844832	1.958718582958435	50.0	318.0230935199595	30.305434604656867	0.0022575005843787086	23.58409901497669
38	2e-07	1.2785095825495363	499.1955776886065	14.344903677367837	0.982649572682664	3.084510086543599	4.025232799275223	2.752322355780437	0.8048396536912074	2.4240194913097177	24.448011461856478	0.030995924545240652	2.4153823762733317	1.9259313016137962	0.2958685994420466	0.41985425204779075	1.9744816108472265	50.0	319.10842074111684	30.394943594985435	0.0023108852052573115	18.980748732026555
39	2e-07	1.233145881737438	494.8903754850885	11.961657422246711	1.0397513816532438	3.014483831721268	3.7630638028983805	2.868774182808321	0.8168895990183532	2.3324061627126946	25.137072203358752	0.029128995018396376	2.488850115261629	1.9298496881877258	0.2744553395296152	0.4153521553313867	2.071291255672673	50.0	323.2315273434603	30.373388813900856	0.0022800677743458975	20.014728794708173
40	2e-07	1.3107200724677497	499.22687886547305	12.94882068855795	1.0045803218779596	3.098279471835539	4.136624479658239	2.719067112058891	0.9402238385733015	2.546399648961361	23.992101885816094	0.03122410254485401	2.469364267057519	1.886469232082229	0.2981346158091592	0.42574169337795925	2.022846388184906	50.0	321.63460991178556	30.39485839279368	0.0023185444205044213	20.09233527660207
