# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH2	CG	PCN	Chol	BW	SLD
6.331034776511279	0.0034495414287095774	0.9865977923114845	0.007984056515214992	0.00015498960659168488	9.746310320456906e-05	0.0017161559022769058	-1.356941468808499e-06
6.431527392011458	0.0029115070502064655	0.9860006538178289	0.008960211963358927	0.0001773327358918577	0.0001109198961569324	0.0018393730831938364	-1.3490980456966051e-06
6.532020007511637	0.0024508378936736945	0.9852151775157394	0.010037804033142483	0.0002026375410033067	0.00012609306393898036	0.0019674480904085727	-1.3408859356809794e-06
6.632512623011816	0.002057555632587792	0.9842427662261384	0.01122496227895422	0.00023125735422943348	0.0001431810244740138	0.002100275101702318	-1.3322206515629504e-06
6.733005238511995	0.0017227761315680582	0.9830833222276613	0.012530165751916242	0.0002635820627467414	0.00016240233062955032	0.0022377484535614713	-1.3230188437273528e-06
6.833497854012174	0.0014386208996310125	0.9817353440672084	0.013962220421943077	0.0003000411392672758	0.00018399735235210028	0.0023797722410865267	-1.3131980769883907e-06
6.933990469512353	0.0011981305552837128	0.9801960249031761	0.015530230877429326	0.00034110682812697616	0.00020823005518908876	0.00252627184360991	-1.3026766418743774e-06
7.034483085012532	0.000995181243358512	0.9784613516690567	0.017243565957176014	0.00038729748243139604	0.00023538987538066264	0.002677207497935391	-1.2913734053467524e-06
7.134975700512711	0.0008244047393707876	0.9765262045309291	0.019111818009217393	0.0004391810458415671	0.00026579369092129555	0.002832590022163677	-1.2792077050946187e-06
7.2354683160128905	0.0006811127923418325	0.9743844562747024	0.021144755520420548	0.0004973786703209405	0.0002997878871099962	0.002992498769484729	-1.2660992907134614e-06
7.335960931513069	0.0005612260923215592	0.9720290713969002	0.023352268919304357	0.0005625684586877448	0.00033775051412498396	0.0031571018629588197	-1.251968314267495e-06
7.436453547013248	0.0004612081044888756	0.9694522047860711	0.025744309422516213	0.000635489318126934	0.0003800935330711778	0.0033266787291369566	-1.2367353719497768e-06
7.536946162513427	0.00037800388738988967	0.9666452999709275	0.02833082087269422	0.00071694490791628	0.0004272651457548004	0.003501644910438394	-1.2203215977922622e-06
7.637438778013606	0.00030898390785150337	0.9635991869769468	0.031121664601725864	0.0008078076615197728	0.00047975220213798534	0.0036825790936857025	-1.2026488096383427e-06
7.737931393513786	0.0002518927782985528	0.960304179876685	0.03412653744818616	0.0009090228599096428	0.0005380826780177908	0.003870252245376407	-1.1836397068717496e-06
7.8384240090139645	0.00020480277227450535	0.9567501741420725	0.03735488316027993	0.0010216127295113512	0.000602828213959977	0.0040656586935708516	-1.1632181186969396e-06
7.938916624514143	0.00016607191941604357	0.9529267439113479	0.040815797524993244	0.0011466805345438115	0.0006746067049015105	0.004270048942244135	-1.1413093010864286e-06
8.039409240014322	0.00013430644035799906	0.9488232392710724	0.04451792767921576	0.001285414629774024	0.0007540849281214792	0.004484963947280871	-1.1178402798499972e-06
8.139901855514502	0.00010832725340442694	0.9444288836270243	0.048469366177960334	0.0014390924358508577	0.0008419811954744771	0.004712270524799395	-1.0927402366400695e-06
8.24039447101468	8.714026666296621e-05	0.9397328711989089	0.05267754051688133	0.0016090842954609936	0.0009390680138917024	0.004954197503141846	-1.0659409340886577e-06
8.34088708651486	6.991016012371613e-05	0.934724464624976	0.05714909892929819	0.0017968571646006098	0.0010461747361932118	0.005213372170731384	-1.0373771756769825e-06
8.44137970201504	5.593736037563975e-05	0.9293930926060452	0.06188979339988499	0.002003978089323953	0.0011641901822323625	0.0054928565142641035	-1.0069872953732246e-06
8.541872317515217	4.463791490525659e-05	0.9237284474562433	0.06690436095596825	0.0022321174144645057	0.0012940652083248652	0.005796182686668587	-9.747136715418073e-07
8.642364933015397	3.552598194993947e-05	0.9177205823620634	0.07219640441071305	0.002483051667080566	0.0014368152008167412	0.006127387093282321	-9.405032591352721e-07
8.742857548515575	2.8198664549846115e-05	0.91136000808415	0.07776827383802301	0.0027586660538149077	0.0015935224675368072	0.006491042439182614	-9.043081337339684e-07
8.843350164015755	2.232293276318757e-05	0.9046377887693671	0.08362095015431945	0.00306095650804186	0.0017653384987815256	0.006892287042011222	-8.660860406070173e-07
8.943842779515935	1.7624395119335273e-05	0.897545636475981	0.08975393226506893	0.003392031219672792	0.0019534860674161846	0.007336850684384244	-8.258009416382959e-07
9.044335395016112	1.3877698554093903e-05	0.8900760039537867	0.09616512930162707	0.0037541115778750335	0.0021592611356729555	0.00783107625947908	-7.834235527017469e-07
9.144828010516292	1.0898354695610536e-05	0.8822221751652108	0.1028507595243448	0.004149532454803908	0.002384034534310381	0.008381936453967335	-7.389318638893458e-07
9.24532062601647	8.535808955990232e-06	0.8739783529841357	0.10980525749879926	0.004580741756829995	0.0026292533780007915	0.008997044715337809	-6.923116349004079e-07
9.34581324151665	6.66758704409832e-06	0.8653397434675902	0.11702119116151063	0.005050299168742224	0.0028964421791636526	0.00968465976688521	-6.435568578998301e-07
9.44630585701683	5.194370952312537e-06	0.8563026360625269	0.12448919037786456	0.005560874016099337	0.003187203620996641	0.010453682964133086	-5.926701802518564e-07
9.546798472517008	4.0358729673177835e-06	0.8468644790864946	0.13219788855680342	0.006115242171366151	0.003503218949207953	0.011313647831865085	-5.39663279740079e-07
9.647291088017187	3.1273916642440227e-06	0.8370239498077898	0.14013387882310077	0.006716281930780558	0.003846247940957846	0.012274701181686568	-4.845571851976947e-07
9.747783703517365	2.41694807408519e-06	0.8267810184481259	0.1482816861580631	0.0073669687911246205	0.004218128408811318	0.013347575286248812	-4.2738253589658384e-07
9.848276319017545	1.8629132234787049e-06	0.8161370054392956	0.1566237568030975	0.008070369058785182	0.004620775197124384	0.014543550677780535	-3.681797735798799e-07
9.948768934517725	1.4320500288532938e-06	0.8050946312849073	0.16514046607798755	0.008829632227744485	0.005056178628268977	0.015874409244872396	-3.0699926166888794e-07
10.049261550017903	1.0979031088070976e-06	0.7936580584089833	0.1738101455977163	0.009647982068494	0.005526402356483429	0.017352377421715078	-2.439013269273587e-07
10.149754165518083	8.394795070424375e-07	0.7818329244148245	0.18260913067950574	0.010528706376354804	0.006033580587950134	0.018990059396999007	-1.7895621971849036e-07
